match_id,comp,season,home_team,away_team,scoring_team,team_scored_on,minute,cluster,KO_short_possessions,KO_medium_possessions,KO_long_possessions,DS_short_possessions,DS_medium_possessions,DS_long_possessions,last_event,second_last_event,shot_data,GD_diff,xGD_diff,xGdf_diff,GF_diff,GA_diff,xG_diff,xGA_diff,Possession_Percentage_diff,x_fav,fav
3890439,1. Bundesliga,2015/2016,FSV Mainz 05,Schalke 04,Schalke 04,FSV Mainz 05,45,7,4,2,0,0,0,0,"{'type': 'Pass', 'play_source': 'From Kick Off', 'pass_type': 'Cross', 'pass_detail': 'Ground Pass', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Kick Off', 'shot_detail': 'Inside', 'result': 'Blocked', 'third': 'T1', 'team': 'YES'}}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Kick Off', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",-0.16113373003445036,0.13752691345970874,0.08718240496924529,0.08863138114625735,0.24976511118070777,0.001448976177012673,-0.13607793728269613,5.157712392584081,neutral,neutral
3890480,1. Bundesliga,2015/2016,FC Köln,Schalke 04,Schalke 04,FC Köln,1,1,5,1,0,3,3,0,"{'type': 'Carry', 'play_source': 'From Throw In', 'length': 'Short', 'direction': 'Sideways', 'third': 'T1', 'team': 'NO'}","{'type': 'Pass', 'play_source': 'From Throw In', 'pass_type': 'None', 'pass_detail': 'Low Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'NO'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Other', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'NO'}}",-0.10677749360613811,0.047022177271739185,0.03766753622998715,0.1997016197783461,0.3064791133844842,0.16203408354835913,0.11501190627661972,6.304670763990117,neutral,neutral
3890535,1. Bundesliga,2015/2016,Wolfsburg,Augsburg,Augsburg,Wolfsburg,0,4,3,3,0,1,0,0,"{'type': 'Carry', 'play_source': 'From Counter', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Pass', 'play_source': 'From Counter', 'pass_type': 'Through-Ball', 'pass_detail': 'Ground Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T2', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Counter', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",-0.34940727345790634,-0.6823780383908379,-0.08897757431836452,-0.30319469559975887,0.046212577858147474,-0.21421712128139392,0.46816091710944363,-11.242551716827208,low unfav,neutral
3890540,1. Bundesliga,2015/2016,Bayer Leverkusen,Hertha Berlin,Bayer Leverkusen,Hertha Berlin,1,3,8,1,0,6,2,0,"{'type': 'Pass', 'play_source': 'From Throw In', 'pass_type': 'None', 'pass_detail': 'High Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'NO'}","{'type': 'Pass', 'play_source': 'From Throw In', 'pass_type': 'None', 'pass_detail': 'Low Pass', 'length': 'Short', 'direction': 'Sideways', 'third': 'T1', 'team': 'NO'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Throw In', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'NO'}}",0.9322169059011165,0.40007806317392347,0.023835177561243953,0.3995215311004785,-0.532695374800638,0.3756863535392345,-0.024391709634689063,1.636196014418445,neutral,low fav
3900492,Ligue 1,2015/2016,Guingamp,Lorient,Guingamp,Lorient,0,4,7,0,1,0,0,0,"{'type': 'Pass', 'play_source': 'From Kick Off', 'pass_type': 'None', 'pass_detail': 'High Pass', 'length': 'Long', 'direction': 'Towards', 'third': 'T2', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'From Kick Off', 'length': 'Long', 'direction': 'Sideways', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Kick Off', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",0.12457516339869282,-0.19459979401627456,0.23454589678835297,0.11294117647058832,-0.011633986928104578,-0.12160472031776481,0.07299507369850966,-4.906704342105307,neutral,neutral
3900537,Ligue 1,2015/2016,Troyes,Toulouse,Toulouse,Troyes,1,6,7,4,0,2,0,0,"{'type': 'Pass', 'play_source': 'From Free Kick', 'pass_type': 'Cross', 'pass_detail': 'High Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Pass', 'play_source': 'From Kick Off', 'pass_type': 'None', 'pass_detail': 'Ground Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Free Kick', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",1.283385837556499,1.5044160453754896,0.02766925915156826,0.5084919873989865,-0.7748938501575127,0.48082272824741834,-1.0235933171280718,-1.215143211326989,high fav,med fav
3900543,Ligue 1,2015/2016,Stade de Reims,Troyes,Troyes,Stade de Reims,46,5,7,3,0,5,1,0,"{'type': 'Error', 'event': {'type': 'Error', 'play_source': 'Regular Play', 'team': 'YES'}}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Saved', 'third': 'T1', 'team': 'NO'}}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'NO'}}",-1.43252391464312,-1.127821146508359,-0.36739082770949955,-0.6616629874908021,0.7708609271523179,-0.2942721597813026,0.8335489867270565,-1.009160835980822,med unfav,med unfav
3900544,Ligue 1,2015/2016,Toulouse,Lorient,Lorient,Toulouse,46,11,7,2,0,4,0,0,"{'type': 'Pass', 'play_source': 'From Throw In', 'pass_type': 'Cross', 'pass_detail': 'Low Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'From Throw In', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Throw In', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",-0.05777777777777779,-0.2649469078832324,0.18104178491248493,0.20121212121212118,0.2589898989898989,0.020170336299636604,0.2851172441828689,3.943558226916686,neutral,neutral
3900582,Ligue 1,2015/2016,Gazélec Ajaccio,Stade de Reims,Gazélec Ajaccio,Stade de Reims,1,10,10,2,0,6,0,0,"{'type': 'Error', 'event': {'type': 'Error', 'play_source': 'Regular Play', 'team': 'NO'}}","{'type': 'Carry', 'play_source': 'Regular Play', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",-0.3272507309204557,-0.10149271213754421,-0.20906787108904118,-0.4179856840407299,-0.09073495312027435,-0.20891781295168865,-0.10742510081414447,-2.310811702060846,neutral,neutral
3900594,Ligue 1,2015/2016,Nantes,Bordeaux,Nantes,Bordeaux,0,18,0,2,0,3,1,0,"{'type': 'Carry', 'play_source': 'From Counter', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'NO'}","{'type': 'Dribble', 'event': {'type': 'Dribble', 'play_source': 'From Counter', 'outcome': 'Complete', 'third': 'T1', 'team': 'NO'}}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Counter', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'NO'}}",-0.452552966961604,-0.05548425982897959,-0.3079635994693157,-0.559542170630733,-0.1069892036691289,-0.2515785711614177,-0.1960943113324376,-0.7281188406553696,neutral,neutral
